title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link
"Termurah Dan Terbaik ! Rumah Cantik Dengan Kontruksi Mewah Harga Murah Di Perumahan Mustika Sedayu Jalan Wates Km 13","Rp 319 Juta","2","1","1",": 97 m²",": 36 m²","Rumah, Premier, Dekat Sekolah","Ayanti Sahabat Properti Jogja","Diperbarui 6 hari yang lalu oleh","Sedayu, Bantul","/properti/bantul/hos15809287/"
"Rumah Mewah 2 Lantai Korea Style Modern Dengan Kolam Renang Luas Di Purwomartani Kalasan Sleman Dekat Swalayan Pamela 7","Rp 3,95 Miliar","5","3","2",": 296 m²",": 288 m²","Rumah, Premier, Full Furnished, Dekat Sekolah","Ayanti Sahabat Properti Jogja","Diperbarui 18 jam yang lalu oleh","Purwomartani , Sleman","/properti/sleman/hos18034859/"
"Perumahan Grand Str Palagan Jogja Ngaglik Sleman Yogyakarta","Rp 1,79 Miliar","3","3","2",": 135 m²",": 110 m²","Rumah, Premier, Dekat Pusat Perbelanjaan","Pt Menoreh Megah Abhipraya","Diperbarui 1 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17354968/"
"Turun Harga Rumah Siap Huni Dekat Upn 1.5m","Rp 1,52 Miliar","4","3","2",": 120 m²",": 165 m²","Rumah, Premier, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah","tri indarto","Diperbarui 5 jam yang lalu oleh","Depok, Sleman","/properti/sleman/hos10048531/"
"Rumah Baru Dijual Jogja Kota Sidoarum Gamping Sleman Yogyakarta","Rp 715 Juta","2","2","1",": 100 m²",": 70 m²","Rumah, Premier, Dekat Sekolah","Pt Menoreh Megah Abhipraya","Diperbarui 3 hari yang lalu oleh","Gamping, Sleman","/properti/sleman/hos18016114/"
"Murah Banget! Rumah Cantik Minimalis Imut Fully Furnished Di Dalam Perumahan Griya Wirokerten Pratama Dekat Giwangan","Rp 435 Juta","2","1","1",": 75 m²",": 55 m²","Rumah, Premier, Full Furnished, Dekat Sekolah, Dekat Fasilitas Kesehatan","Ayanti Sahabat Properti Jogja","Diperbarui 4 hari yang lalu oleh","Banguntapan, Bantul","/properti/bantul/hos17977791/"
"Rumah Baru Fresh Cantik Minimalis Harga Super Ekonomis Dalam Cluster Dekat Rsud Prambanan Sleman","Rp 295 Juta","2","1","1",": 65 m²",": 45 m²","Rumah, Premier, Dekat Sekolah","Ayanti Sahabat Properti Jogja","Diperbarui 4 hari yang lalu oleh","Prambanan, Sleman","/properti/sleman/hos17611702/"
"Rumah Cantik Modern Estetik Kekinian Dengan Tata Ruang Fungsional Di Dekat Sd Model Wedomartani Ngemplak Sleman","Rp 885 Juta","3","2","1",": 102 m²",": 75 m²","Rumah, Premier, Siap Huni, Dekat Sekolah, Dekat Tempat Wisata","Ayanti Sahabat Properti Jogja","Diperbarui 4 hari yang lalu oleh","Ngemplak, Sleman","/properti/sleman/hos18057879/"
"Banting Harga!! Rumah Induk Dan Ruang Usaha Di Jual..5 Menit Saja Ke Kampus Uii, Upn, Amikom..sangat Strategis","Rp 5,4 Miliar","7","8","6",": 482 m²",": 700 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rully Java","Diperbarui 4 hari yang lalu oleh","Condong Catur, Sleman","/properti/sleman/hos14414747/"
"Rumah 2 Lantai Ada Kolam Renang View Merapi di Sleman Yogyakarta","Rp 1,5 Miliar","4","2","1",": 90 m²",": 120 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Royal Pratama Indah","Diperbarui 5 jam yang lalu oleh","Umbulharjo, Yogyakarta","/properti/yogyakarta/hos17836453/"
"Rumah Baru 2 Lantai Ada Kolam Renang di Ngaglik Yogyakarta","Rp 1,5 Miliar","4","2","1",": 90 m²",": 120 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Royal Pratama Indah","Diperbarui 5 jam yang lalu oleh","Maguwoharjo, Yogyakarta","/properti/yogyakarta/hos17940409/"
"Rumah Baru Shm Dijual Dekat Malioboro Yogyakarta Dalam Perumahan","Rp 1,37 Miliar","3","3","1",": 100 m²",": 95 m²","Rumah, Premier","Pt Menoreh Megah Abhipraya","Diperbarui 1 minggu yang lalu oleh","Kasihan, Bantul","/properti/bantul/hos17901881/"
"Perumahan Baru Shm Grand Str Yogyakarta Palagan Sleman Jogja","Rp 1,79 Miliar","3","3","2",": 133 m²",": 110 m²","Rumah, Premier, Dekat Fasilitas Kesehatan","Pt Menoreh Megah Abhipraya","Diperbarui 1 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17848096/"
"Rumah Minimalias Modern dekat Ugm, Uii & Sekolah Al Azhar *tipe Livia*","Rp 2,93 Miliar","4","2","1",": 118 m²",": 130 m²","Rumah, Premier, Dekat Sekolah","Muhlisin panoramicland","Diperbarui 2 hari yang lalu oleh","Depok, Sleman","/properti/sleman/hos17984737/"
"Rumah Baru 2 Lantai Perumahan Palagan Jogja Sleman Yogyakarta Shm","Rp 1,81 Miliar","3","3","2",": 128 m²",": 110 m²","Rumah, Premier","Pt Menoreh Megah Abhipraya","Diperbarui 2 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17920659/"
"Rumah Baru Rooftop Cluster Nogotirto Jogja Sleman Yogyakarta Shm","Rp 725 Juta","2","2","1",": 100 m²",": 70 m²","Rumah, Premier, Siap Huni, Dekat Sekolah","Pt Menoreh Megah Abhipraya","Diperbarui 3 hari yang lalu oleh","Gamping, Sleman","/properti/sleman/hos17333246/"
"Rumah Siap Huni Dalam Perumahan di Jalan Palagan Km 7 Dekat UGM dan Sekolah Al Azhar di Jalan palagan km 7 Rumah 2 Lantai di Jalan palagan km 7 SHM Ba","Rp 3,3 Miliar","4","4","1",": 146 m²",": 205 m²","Rumah, Premier, Siap Huni, Dekat Sekolah","Muhlisin panoramicland","Diperbarui 3 jam yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos15530603/"
"Bu Jual Cepat Rumah Murah Jogja Keren Superstrategis Di Tajem","Rp 495 Juta","2","1","1",": 70 m²",": 41 m²","Rumah, Premier, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah","Hana Rohana","Diperbarui 4 hari yang lalu oleh","Depok, Sleman","/properti/sleman/hos18044232/"
"Rumah Siap Huni Kaliurang Full Furnished Baru","Rp 1,49 MiliarRp 1.8MHEMAT 310 Jutaan","4","3","2",": 104 m²",": 140 m²","Rumah, Premier, Full Furnished, Siap Huni, Dekat Sekolah","tri indarto","Diperbarui 4 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos10624790/"
"Rumah MURAH BANGET...Tanahnya Luas di Jogja","Rp 555 Juta","2","1","1",": 183 m²",": 50 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rully Java","Diperbarui 4 hari yang lalu oleh","Sleman, Sleman","/properti/sleman/hos13429775/"
"5 Menit Saja Ke Kampus Uii, Upn, Stie Ykpn, Amikom Dan Pakuwon Mall","Rp 1,45 MiliarRp 1.5MHEMAT 26 Jutaan","4","3","1",": 146 m²",": 146 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rully Java","Diperbarui 4 hari yang lalu oleh","Condong Catur, Sleman","/properti/sleman/hos16851875/"
"15 Menitan Saja Ke Kampus Sanata Dharma..rumah Istimewa..lingkungan Sangat Nyaman","Rp 799 Juta","3","2","1",": 88 m²",": 84 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rully Java","Diperbarui 4 hari yang lalu oleh","Purwomartani , Sleman","/properti/sleman/hos18073237/"
"10 Menit Saja ke kampus UGM..Lingkungan Nyaman, Aman dan Bersih","Rp 1,4 Miliar","5","2","2",": 120 m²",": 200 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rully Java","Diperbarui 4 hari yang lalu oleh","Mlati, Sleman","/properti/sleman/hos17651556/"
"Rumah Modern Heritage di Sleman Dekat Sleman City Hall","Rp 1,72 Miliar","3","3","2",": 136 m²",": 111 m²","Rumah, Premier, Siap Huni, Dekat Sekolah, Dekat Landmark","Siska Core","Diperbarui 5 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos18074573/"
"Rumah Siap Huni 4 Kamar Maguwoharjo Wedomartani","Rp 1,58 Miliar","4","2","2",": 168 m²",": 130 m²","Rumah, Premier, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan","tri indarto","Diperbarui 5 hari yang lalu oleh","Depok, Sleman","/properti/sleman/hos10280665/"
"Rumah Baru 2lt View Gunung Merapi di Sleman Yogyakarta","Rp 1,5 Miliar","4","2","1",": 90 m²",": 120 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Royal Pratama Indah","Diperbarui 5 jam yang lalu oleh","Sleman, Yogyakarta","/properti/yogyakarta/hos17940336/"
"Rumah 2 Lantai Baru Unfurnished SHM View Merapi Yogyakarta","Rp 1,5 Miliar","4","2","2",": 90 m²",": 120 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Royal Pratama Indah","Diperbarui 5 jam yang lalu oleh","Depok, Sleman","/properti/sleman/hos17494954/"
"Jual Rumah 2 Lantai Elegan Dekat Kampus Uii View Merapi","Rp 1,57 Miliar","3","2","1",": 107 m²",": 130 m²","Rumah, Premier, Dekat Akses Transportasi, Dekat Sekolah, Dekat Landmark","Royal Pratama Indah","Diperbarui 5 jam yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17935651/"
