"title","price","bedroom","bathroom","carport","LT","LB","badges","agent","updated","location","link","description"
"Dijual rumah baru -Jl.Palagan","Rp 1,98 Miliar","4","4","1","130 m²","110 m²","Dekat Sekolah, Rumah, Premier","Xavier Marks Kraton","Diperbarui 7 jam yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos39573049/","Lokasi : strategis hanya berjarak 50 meter dari jalan Raya Umbul Permai, antara Jl Damai & Jl Kapt..."
"Rumah Classic Dekat Exit Tol Purwomartani Jogja","Rp 1,28 Miliar","3","2","1","110 m²","114 m²","Dekat Akses Transportasi, Dekat Tempat Ibadah, Rumah, Premier","Arif Faiza","Diperbarui 1 hari yang lalu oleh","Purwomartani   , Sleman","/properti/sleman/hos39024729/","Rumah classic dekat tol. Sahluna Residence merupakan komplek perumahan classic yang berlokasi dekat..."
"5 Menit Saja.ke Kampus Uii, Amikom,upn, Rumah.induk.dan Ruang Usaha Dijual","Rp 5,4 Miliar","7","8","6","482 m²","700 m²","Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan, Rumah, Premier","Rully Java","Diperbarui 1 hari yang lalu oleh","Condong Catur, Sleman","/properti/sleman/hos14414747/","Istimewa dan Lokasi yang sangat Strategis !! Rumah Induk dan Tempat Usaha di jual.. Murah lho..Hanya..."
"Rumah Murah Siap Huni, Dalam Cluster Dekat Sekolah Budi Mulia","Rp 775 Juta","3","2","1","105 m²","70 m²","Siap Huni, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Rumah, Premier","HAGI WASTU","Diperbarui 3 hari yang lalu oleh","Kalasan, Sleman","/properti/sleman/hos17180937/","Rumah murah, hanya 6 menit ke sekolah Budi Mulia Tajem Maguwo, Sleman, di dalam cluster, lingkungan..."
"Rumah Istimewa Tengah Kota Bantul!! Garasi Dan Halaman Luas Muat 7 Mobil, Dekat Rsud Bantul","Rp 3 Miliar","3","3","5","400 m²","500 m²","Dekat Pusat Perbelanjaan, Dekat Sekolah, Rumah, Premier","Rully Java","Diperbarui 1 minggu yang lalu oleh","Bantul, Bantul","/properti/bantul/hos39714794/","Rumah Istimewa dan Sangat Strategis di Tengah Kota Bantul harga 3 Milyar Nego - lokasi sangat istimewa..."
"Rumah Klasik Kolonial Belanda Jogja Terawat","Rp 7,25 MiliarRp 7.9MHEMAT 400 Jutaan","7","6","1","443 m²","325 m²","Full Furnished, Dekat Sekolah, Rumah, Premier","tri indarto","Diperbarui 1 minggu yang lalu oleh","Pakualaman, Yogyakarta","/properti/yogyakarta/hos19084359/","Rumah Style Kolonial Belanda Cantik Tepi Jalan Raya Selatan Kotabaru Cocok Buat Investasi Coffeshop..."
"Rumah 2 Lantai Dekat Exit Tol Purwomartani","Rp 1,28 Miliar","3","2","1","110 m²","114 m²","Bebas Banjir, Dekat Akses Transportasi, Dekat Sekolah, Rumah, Premier","Arif Faiza","Diperbarui 1 hari yang lalu oleh","Depok, Sleman","/properti/sleman/hos19443432/","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Depok, Sleman...."
"Rumah Mewah di Yogyakarta, Lokasi Dekat Kampus UNISA","Rp 1,88 Miliar","3","3","2","148 m²","146 m²","Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah, Rumah, Premier","Arif Faiza","Diperbarui 1 hari yang lalu oleh","Gamping, Sleman","/properti/sleman/hos39796442/","Rumah mewah di Yogyakarta, lokasi dekat kampus UNISA. Lokasinya sangat strategis, yaitu dalam area..."
"Rumah Classic Mewah Di dekat Kampus UNISA Yogyakarta","Rp 1,88 MiliarRp 1.9MHEMAT 10 Jutaan","3","3","1","148 m²","146 m²","Bebas Banjir, Dekat Akses Transportasi, Dekat Sekolah, Rumah, Premier","Arif Faiza","Diperbarui 1 hari yang lalu oleh","Gamping, Sleman","/properti/sleman/hos39376712/","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Gamping,..."
"5 Menit Saja!! Ke Kampus Uii, Lingkungan Nyaman Masih, Ada Halaman Luas Di Belakang","Rp 795 Juta","3","2","1","153 m²","100 m²","Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Landmark, Rumah, Premier","Rully Java","Diperbarui 21 jam yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos18593748/","Istimewa dan Murah banget 5 menit saja ke kampus uii Rumah murah di jogja Harga hanya 795 juta nego..."
