title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota,total_rooms,min_area_needed,price_per_m2_land,price_per_m2_building,building_efficiency,listing_age_days,room_density,bathroom_bedroom_ratio,fuzzy_area_quality,fuzzy_quality_score,efficiency_category,kecamatan_encoded,kabupaten_kota_encoded
Rumah 2 Lantai Ada Kolam Renang View Merapi di Sleman Yogyakarta,15000000000.0,4.0,2.0,1,90.0,120.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Royal Pratama Indah,2025-05-06 09:00:25.150289,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos17836453/,Umbulharjo,Yogyakarta,6.0,54.0,166666666.66666666,125000000.0,1.3333333333333333,0,0.05,0.5,0.262308375056353,0.262308375056353,very_high,26,0
Rumah Baru 2 Lantai Ada Kolam Renang di Ngaglik Yogyakarta,15000000000.0,4.0,2.0,1,90.0,120.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Royal Pratama Indah,2025-05-06 09:00:25.150297,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17940409/,Maguwoharjo,Yogyakarta,6.0,54.0,166666666.66666666,125000000.0,1.3333333333333333,0,0.05,0.5,0.262308375056353,0.262308375056353,very_high,13,0
Rumah Baru 2lt View Gunung Merapi di Sleman Yogyakarta,15000000000.0,4.0,2.0,1,90.0,120.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Royal Pratama Indah,2025-05-06 09:00:25.150319,"Sleman, Yogyakarta",/properti/yogyakarta/hos17940336/,Sleman,Yogyakarta,6.0,54.0,166666666.66666666,125000000.0,1.3333333333333333,0,0.05,0.5,0.262308375056353,0.262308375056353,very_high,24,0
Rumah 2 Lantai Baru Unfurnished SHM Dekat Kantor Kecamatan Ngaglik Sleman,141000000000.0,3.0,2.0,1,90.0,110.0,"Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata, Dekat Landmark",Akatara Indah Land,2025-04-30 14:00:25.150326,"Sleman, Yogyakarta",/properti/yogyakarta/hos17924775/,Sleman,Yogyakarta,5.0,45.0,1566666666.6666667,1281818181.8181818,1.2222222222222223,6,0.045454545454545456,0.6666666666666666,0.262308375056353,0.262308375056353,very_high,24,0
Siap Huni Dijual Rumah 2 Lantai Area Sleman City Hall SHM Banyak Bonus,195000000000.0,3.0,2.0,1,109.0,115.0,"Rumah, Premier, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan",Akatara Indah Land,2025-04-30 14:00:25.150327,"Sleman, Yogyakarta",/properti/yogyakarta/hos17561349/,Sleman,Yogyakarta,5.0,45.0,1788990825.6880734,1695652173.9130435,1.055045871559633,6,0.043478260869565216,0.6666666666666666,0.42959656484386244,0.42959656484386244,very_high,24,0
Rumah 2 Lantai Baru SHM + Private Pool View Merapi,175000000000.0,3.0,3.0,1,126.0,144.0,"Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata, Dekat Landmark",Akatara Indah Land,2025-04-30 14:00:25.150329,"Kaliurang, Yogyakarta",/properti/yogyakarta/hos17462285/,Kaliurang,Yogyakarta,6.0,54.0,1388888888.8888888,1215277777.7777777,1.1428571428571428,6,0.041666666666666664,1.0,0.49999999999999983,0.49999999999999983,very_high,9,0
Rumah Cantik Baru Shm Siap Huni Di Sleman Wedomartani,849000000.0,3.0,2.0,1,107.0,90.0,"Rumah, Premier, Siap Huni, Dekat Sekolah",Wisnu Kawiryan,2025-04-29 14:00:25.150351,"Sleman, Yogyakarta",/properti/yogyakarta/hos17941774/,Sleman,Yogyakarta,5.0,45.0,7934579.4392523365,9433333.333333334,0.8411214953271028,7,0.05555555555555555,0.6666666666666666,0.4172568758470343,0.4172568758470343,high,24,0
Jual Rumah Kuantan Regency Harga Terjangkau,950000000.0,2.0,1.0,1,80.0,40.0,"Rumah, Premier, Dekat Akses Transportasi, Dekat Sekolah",Steven Kurniawan,2025-05-05 14:00:25.150365,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos18098355/,Umbulharjo,Yogyakarta,3.0,27.0,11875000.0,23750000.0,0.5,1,0.075,0.5,0.17183297431384945,0.17183297431384945,low,26,0
Rumah Cantik Istimewa - Harga Murah Dengan Tanah Luas Di Sidoarum Godean Sleman Dekat Bantulan,750000000.0,3.0,2.0,1,167.0,100.0,"Rumah, Premier, Dekat Sekolah",Ayanti Sahabat Properti Jogja,2025-05-02 14:00:25.150421,"Sidoarum, Yogyakarta",/properti/yogyakarta/hos17707554/,Sidoarum,Yogyakarta,5.0,45.0,4491017.964071856,7500000.0,0.5988023952095808,4,0.05,0.6666666666666666,0.49999999999999994,0.49999999999999994,medium,23,0
Rumah Mewah Tengah Kota Dekat Malioboro Yogyakarta,237000000000.0,3.0,3.0,1,136.0,150.0,"Rumah, Premier, Full Furnished",Winata,2025-05-02 14:00:25.150425,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos15842968/,Umbulharjo,Yogyakarta,6.0,54.0,1742647058.8235295,1580000000.0,1.1029411764705883,4,0.04,1.0,0.49999999999999967,0.49999999999999967,very_high,26,0
